Time (rjd) rv (km/s) err (km/s)
-------- ---------- ---------- 
52939.87402	30.28781	0.00115
52943.87609	30.29179	0.00123
52946.86307	30.28926	0.00127
52997.80895	30.28720	0.00159
53000.71115	30.28974	0.00157
53035.77971	30.29298	0.00129
53038.69944	30.29617	0.00134
53049.62985	30.28903	0.00128
53058.63752	30.28968	0.00133
53064.60800	30.29695	0.00132
53066.62804	30.29066	0.00132
53146.50394	30.28405	0.00090
53147.46529	30.28160	0.00094
53150.45996	30.28875	0.00087
53151.45971	30.28447	0.00097
53156.51938	30.28613	0.00088
53158.47877	30.29058	0.00104
53159.47184	30.29278	0.00089
53308.84869	30.28375	0.00081
53309.85332	30.28243	0.00081
53310.83434	30.28335	0.00079
53315.78477	30.29116	0.00076
53336.87629	30.28137	0.00081
53338.87107	30.28424	0.00081
53339.87254	30.28635	0.00081
53340.87312	30.28841	0.00078
53341.87665	30.28799	0.00077
53366.80298	30.29159	0.00078
53400.70923	30.29064	0.00084
53401.69711	30.29322	0.00079
53402.70331	30.29159	0.00077
53403.73189	30.28970	0.00077
53404.67757	30.28703	0.00077
53405.78064	30.28613	0.00077
53406.72194	30.28593	0.00077
53407.68257	30.28686	0.00080
53408.64555	30.28939	0.00080
53409.74200	30.29383	0.00079
53410.66784	30.29511	0.00078
53411.65792	30.29546	0.00078
53412.69922	30.29241	0.00078
53466.61874	30.28463	0.00076
53467.52463	30.28462	0.00076
53491.48464	30.28645	0.00077
53669.86743	30.29552	0.00072
53670.82353	30.29673	0.00073
53671.84494	30.29406	0.00072
53672.85328	30.29200	0.00072
53674.87601	30.28827	0.00073
53675.84854	30.28842	0.00072
53692.84983	30.28526	0.00078
53693.82671	30.28636	0.00076
53694.84026	30.28982	0.00077
53695.82962	30.29344	0.00077
53696.81421	30.29293	0.00076
53697.84387	30.29402	0.00078
53698.80396	30.29085	0.00077
53699.83331	30.28683	0.00076
53700.86520	30.28778	0.00076
53724.85600	30.28708	0.00076
53725.80468	30.28465	0.00076
53726.84842	30.28543	0.00077
53727.76439	30.28565	0.00076
53728.74394	30.28671	0.00076
53729.86299	30.29118	0.00077
53757.64114	30.29113	0.00077
53758.69285	30.29153	0.00076
53759.64827	30.28879	0.00076
53760.65734	30.28768	0.00076
53761.71283	30.28708	0.00077
53762.66570	30.28792	0.00077
53763.70266	30.29209	0.00077
53764.73236	30.29347	0.00077
53765.66138	30.29493	0.00077
